5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 3, 3
2, 2, 2, 2, 2, 2, 2, 2, 2, 8
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 3
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
9, 9, 9, 9, 9, 9, 9, 9, 9, 9
5, 5, 5, 5, 5, 5, 5, 5, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
9, 9, 9, 9, 9, 9, 9, 9, 9, 9
3, 3, 3, 3, 3, 3, 3, 3, 3, 9
3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 3, 3, 3, 3, 3, 3, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 9
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
9, 9, 9, 9, 9, 9, 9, 9, 9, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
3, 3, 3, 3, 3, 3, 3, 3, 3, 3
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 9, 9
5, 5, 5, 5, 5, 5, 5, 5, 5, 3
5, 5, 5, 5, 5, 5, 5, 5, 3, 3
9, 9, 9, 9, 9, 9, 9, 9, 9, 9
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
3, 3, 3, 3, 3, 3, 3, 3, 3, 3
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 3, 3
5, 5, 5, 5, 5, 5, 5, 5, 5, 3
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
9, 9, 9, 9, 9, 9, 9, 9, 9, 9
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
3, 3, 3, 3, 3, 3, 3, 3, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
5, 5, 5, 5, 5, 5, 5, 5, 5, 5
9, 9, 9, 9, 9, 9, 9, 9, 9, 9
